Descripción,Localización,Precio,Superficie Construida,Última Actualización,Consumo Energético,Emisiones CO2,Características,Tipo de operación
Ático en alquiler en Calle del Trole,Palomeras Sureste (Distrito Puente de Vallecas. Madrid Capital),1.800,118,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '118 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '9ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5087-1301744')]",Alquiler
"Piso en alquiler en Calle de las Islas Caimán, 3",Garena (Distrito Chorrillo-Garena. Alcalá de Henares),870,63,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '63 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5100-2201/22010013/00000037')]",Alquiler
Piso en alquiler en Peñagrande,Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),1.200,46,Anuncio actualizado el 28/10/2024,Consumo:393 kWh/m² año,Emisiones:93 Kg CO₂/m² año,"[('Superficie construida:', '46 m²'), ('Habitaciones:', '3'), ('Baños:', '1'), ('Planta:', '4ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'TC517-596720')]",Alquiler
"Piso en alquiler en Calle de Padilla, cerca de Calle de Montesa",Lista (Distrito Salamanca. Madrid Capital),2.250,114,Anuncio actualizado el 28/10/2024,Consumo:300 kWh/m² año,Emisiones:63 Kg CO₂/m² año,"[('Superficie construida:', '114 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '7ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', 'TC619-597347')]",Alquiler
"Piso en alquiler en Calle de Don Ramón de la Cruz, cerca de Calle de Montesa",Lista (Distrito Salamanca. Madrid Capital),2.900,99,Anuncio actualizado el 28/10/2024,Consumo:154 kWh/m² año,Emisiones:34 Kg CO₂/m² año,"[('Superficie construida:', '99 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', 'TC619-596094')]",Alquiler
Piso en alquiler en Calle del Castillo de Candanchú,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),1.375,103,Anuncio actualizado el 15/10/2024,N/A,N/A,"[('Superficie construida:', '103 m²'), ('Superficie útil:', '88 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '4ª'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Entre 60 y 80 €'), ('Referencia:', '4994226-9269182')]",Alquiler
Piso en alquiler en Calle Alfonso VI,Estación (Valdemoro),1.325,138,Anuncio actualizado el 09/10/2024,Consumo:52 kWh/m² año,Emisiones:10 Kg CO₂/m² año,"[('Superficie construida:', '138 m²'), ('Superficie útil:', '86 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4991523-000015')]",Alquiler
Piso en alquiler en Suroeste,Oeste (Móstoles),995,85,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '85 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '4ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2811-031136')]",Alquiler
Estudio en alquiler en Pueblo Nuevo,Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),750,28,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '28 m²'), ('Superficie útil:', '28 m²'), ('Baños:', '1'), ('Planta:', '4ª'), ('Conservación:', 'Reformado'), ('Referencia:', '518978-2A1126')]",Alquiler
Apartamento en alquiler en Chamartin,Sol (Distrito Centro. Madrid Capital),1.825,25,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '25 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Conservación:', 'A estrenar'), ('Referencia:', 'XA633-4867')]",Alquiler
Piso en alquiler en Calle Terradas,El Rosón-Kelvinator (Getafe),1.350,100,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '100 m²'), ('Superficie útil:', '95 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4998331-13385260')]",Alquiler
Piso en alquiler en Centro,Justicia-Chueca (Distrito Centro. Madrid Capital),1.500,75,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '75 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '4ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Referencia:', 'GB18-UNI3304 PISO EN ALQUILER EN CENTRO - UNIVERSIDAD')]",Alquiler
Piso en alquiler en Arapiles,Arapiles (Distrito Chamberí. Madrid Capital),1.500,90,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '90 m²'), ('Superficie útil:', '75 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Referencia:', 'IFC76014-PIS_358')]",Alquiler
Piso en alquiler en Prosperidad,Prosperidad (Distrito Chamartín. Madrid Capital),1.700,98,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '98 m²'), ('Baños:', '2'), ('Planta:', '5ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', 'TC622-599149')]",Alquiler
"Piso en alquiler en Calle de Letonia, 14",Nuevo Tres Cantos (Tres Cantos),1.236,93,Anuncio actualizado el 21/10/2024,Consumo:22.73 kWh/m² año,Emisiones:3.85 Kg CO₂/m² año,"[('Superficie construida:', '93 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '1ª'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528991-21490388')]",Alquiler
Piso en alquiler en Tetuan,Valdeacederas (Distrito Tetuán. Madrid Capital),1.100,54,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '54 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA24-2815-031068')]",Alquiler
"Ático en alquiler en Avenida de Joan Miró, 1",Zona Sureste (Torrejón de Ardoz),899,58,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '58 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '5ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5100-2200/22000602/00000027')]",Alquiler
Piso en alquiler en El Soto,El Soto de la Moraleja (La Moraleja),1.900,95,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '95 m²'), ('Superficie útil:', '90 m²'), ('Habitaciones:', '1'), ('Planta:', 'Bajo'), ('Conservación:', 'En buen estado'), ('Referencia:', '1794-001337')]",Alquiler
Piso en alquiler en Arganzuela,Imperial (Distrito Arganzuela. Madrid Capital),1.695,90,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '90 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '3ª'), ('Conservación:', 'A estrenar'), ('Referencia:', 'XA24-2818-030755')]",Alquiler
Piso en alquiler en Distrito Salamanca,Recoletos (Distrito Salamanca. Madrid Capital),2.995,70,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '70 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '3ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'XA633-4638')]",Alquiler
Chalet en alquiler en La Moraleja,Encinar de los Reyes (La Moraleja),8.500,350,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '350 m²'), ('Habitaciones:', '5'), ('Baños:', '6'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'GM34-179427')]",Alquiler
Piso en alquiler en Hortaleza,Timón (Distrito Barajas. Madrid Capital),2.100,130,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '130 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '2ª'), ('Conservación:', 'A estrenar'), ('Referencia:', 'XA24-2812-030891')]",Alquiler
Chalet adosado en alquiler en Carretera del Plantío,Zona Carretera del Plantío (Majadahonda),3.950,307,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '307 m²'), ('Habitaciones:', '4'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'GM34-200141')]",Alquiler
"Piso en alquiler en Calle de Letonia, 14",Nuevo Tres Cantos (Tres Cantos),950,72,Anuncio actualizado el 21/10/2024,Consumo:22.73 kWh/m² año,Emisiones:3.85 Kg CO₂/m² año,"[('Superficie construida:', '72 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '1ª'), ('Conservación:', 'A estrenar'), ('Referencia:', '4528991-21490384')]",Alquiler
Piso en alquiler en Calle de Martín de los Heros,Universidad-Malasaña (Distrito Centro. Madrid Capital),1.100,46,Anuncio actualizado el 17/09/2024,N/A,N/A,"[('Superficie construida:', '46 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA2470-MHBeteta10')]",Alquiler
"Piso en alquiler en Paseo de la Habana, cerca de Calle de Romero Girón",Hispanoamérica (Distrito Chamartín. Madrid Capital),3.000,159,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '159 m²'), ('Habitaciones:', '3'), ('Baños:', '3'), ('Planta:', '5ª'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'IF76850-M30499A')]",Alquiler
Piso en alquiler en Calle del Conde Duque,Universidad-Malasaña (Distrito Centro. Madrid Capital),3.500,161,Anuncio actualizado el 21/10/2024,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,"[('Superficie construida:', '161 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '3ª'), ('Referencia:', 'IF76602-M20609A')]",Alquiler
Piso en alquiler en Calle de Almagro,Almagro (Distrito Chamberí. Madrid Capital),4.200,181,Anuncio actualizado el 08/10/2024,N/A,N/A,"[('Superficie construida:', '181 m²'), ('Superficie útil:', '160 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '1ª'), ('Exterior:', '5 balcones con grandes ventanales a la calle.'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '4995410-AL-1')]",Alquiler
"Estudio en alquiler en Calle de Narváez, 70, cerca de Calle de Ibiza",Ibiza (Distrito Retiro. Madrid Capital),950,40,Anuncio actualizado el 28/10/2024,Consumo:140 kWh/m² año,Emisiones:24 Kg CO₂/m² año,"[('Superficie construida:', '40 m²'), ('Superficie útil:', '40 m²'), ('Baños:', '1'), ('Planta:', '3ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4998173-N70')]",Alquiler
Piso en alquiler en Calle del General Álvarez de Castro,Trafalgar (Distrito Chamberí. Madrid Capital),1.850,78,Anuncio actualizado el 22/10/2024,N/A,N/A,"[('Superficie construida:', '78 m²'), ('Superficie útil:', '64 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'STA25-RP752024131579')]",Alquiler
Piso en alquiler en Calle de Cea Bermúdez,Vallehermoso (Distrito Chamberí. Madrid Capital),2.400,100,Anuncio actualizado el 27/10/2024,N/A,N/A,"[('Superficie construida:', '100 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '4ª'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5184-106360281')]",Alquiler
"Apartamento en alquiler en Avenida de Alberto Alcocer, 16",Hispanoamérica (Distrito Chamartín. Madrid Capital),2.300,95,Anuncio actualizado el 24/02/2023,N/A,N/A,"[('Superficie construida:', '95 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '4ª'), ('Referencia:', '4521170-DE-2EU402-19052020-89840032')]",Alquiler
Piso en alquiler en Calle Cebreiro,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),1.680,115,Anuncio actualizado el 27/09/2024,N/A,N/A,"[('Superficie construida:', '115 m²'), ('Superficie útil:', '87 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', 'Bajo'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4992227-1')]",Alquiler
Piso en alquiler en Calle de Luis Carreño,San Agustín del Guadalix,1.100,72,Anuncio actualizado el 20/09/2024,N/A,N/A,"[('Superficie construida:', '72 m²'), ('Superficie útil:', '68 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4997919-1219')]",Alquiler
Piso en alquiler en Calle del Aviador Zorita,Cuatro Caminos (Distrito Tetuán. Madrid Capital),2.500,174,Anuncio actualizado el 03/10/2024,N/A,N/A,"[('Superficie construida:', '174 m²'), ('Superficie útil:', '165 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Planta:', '7ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '4528417-000004')]",Alquiler
Piso en alquiler en Avenida de Mallorca,Pinar-Punta Galea (Las Rozas de Madrid),1.300,82,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '82 m²'), ('Superficie útil:', '76 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '2ª'), ('Antigüedad:', 'Entre 10 y 20 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Más de 100 €'), ('Referencia:', '4515177-1000')]",Alquiler
"Piso en alquiler en Calle de Juan de Urbieta, cerca de Calle de Viera y Clavijo",Niño Jesús (Distrito Retiro. Madrid Capital),4.900,245,Anuncio actualizado el 16/09/2024,N/A,N/A,"[('Superficie construida:', '245 m²'), ('Superficie útil:', '180 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '3ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA2646-DR.236')]",Alquiler
"Chalet adosado en alquiler en Calle Reyes Católicos, 20",Sector B (Boadilla del Monte),3.450,370,Anuncio actualizado el 17/10/2024,N/A,N/A,"[('Superficie construida:', '370 m²'), ('Superficie útil:', '340 m²'), ('Superficie solar:', '45 m²'), ('Habitaciones:', '4'), ('Baños:', '4'), ('Antigüedad:', 'Menos de 5 años'), ('Conservación:', 'A estrenar'), ('Referencia:', '4524622-M-132')]",Alquiler
Piso en alquiler en Calle Jorge Juan,Goya (Distrito Salamanca. Madrid Capital),3.500,207,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '207 m²'), ('Habitaciones:', '5'), ('Baños:', '3'), ('Planta:', '3ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA5629-4526-06728')]",Alquiler
"Piso en alquiler en Calle del Conde de Peñalver, cerca de Calle de Don Ramón de la Cruz",Goya (Distrito Salamanca. Madrid Capital),2.695,83,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '83 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Referencia:', 'IF75984-M11485A')]",Alquiler
Piso en alquiler en Calle del Poeta Esteban de Villegas,Jerónimos (Distrito Retiro. Madrid Capital),2.150,154,Anuncio actualizado el 25/10/2024,N/A,N/A,"[('Superficie construida:', '154 m²'), ('Superficie útil:', '120 m²'), ('Habitaciones:', '3'), ('Baños:', '2'), ('Planta:', '4ª'), ('Antigüedad:', 'Entre 30 y 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', '4524622-M-136')]",Alquiler
Piso en alquiler en Calle de Mauricio Legendre,Castilla (Distrito Chamartín. Madrid Capital),1.600,82,Anuncio actualizado el 23/10/2024,Consumo:248 kWh/m² año,Emisiones:52 Kg CO₂/m² año,"[('Superficie construida:', '82 m²'), ('Superficie útil:', '75 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Planta:', '2ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4519083-2262931')]",Alquiler
Piso en alquiler en Calle de Alcalá,Goya (Distrito Salamanca. Madrid Capital),2.350,112,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '112 m²'), ('Superficie útil:', '108 m²'), ('Habitaciones:', '2'), ('Baños:', '2'), ('Planta:', '6ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '4526198-000041')]",Alquiler
Piso en alquiler en Calle de Ferrer del Río,Guindalera (Distrito Salamanca. Madrid Capital),3.000,141,Anuncio actualizado el 26/10/2024,N/A,N/A,"[('Superficie construida:', '141 m²'), ('Superficie útil:', '117 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '5ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Gastos de comunidad:', 'Incluidos'), ('Referencia:', '4400-22539')]",Alquiler
Piso en alquiler en Calle de Salvador Almela Navarro,Centro-La Estación-Prado de La Laguna (San Lorenzo de El Escorial),1.450,199,Anuncio actualizado el 27/10/2024,Consumo:124 kWh/m² año,Emisiones:25 Kg CO₂/m² año,"[('Superficie construida:', '199 m²'), ('Superficie útil:', '180 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Planta:', '1ª'), ('Antigüedad:', 'Entre 20 y 30 años'), ('Referencia:', 'SA3830-LODON-00703/9281')]",Alquiler
Casa pareada en alquiler en Calle del Camino Nuevo,El Soto de la Moraleja (La Moraleja),3.600,160,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '160 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Tipo de casa:', 'Pareada'), ('Conservación:', 'Reformado'), ('Referencia:', 'SA2106-CR515')]",Alquiler
"Piso en alquiler en Calle Mayor, cerca de Calle Postas",Sol (Distrito Centro. Madrid Capital),3.600,167,Anuncio actualizado el 21/10/2024,N/A,N/A,"[('Superficie construida:', '167 m²'), ('Superficie útil:', '145 m²'), ('Habitaciones:', '4'), ('Baños:', '3'), ('Planta:', '4ª'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'SA4389-MC03400/9935')]",Alquiler
Ático en alquiler en Calle de Colón,Universidad-Malasaña (Distrito Centro. Madrid Capital),2.200,90,Anuncio actualizado el 20/09/2024,Consumo:321 kWh/m² año,Emisiones:66 Kg CO₂/m² año,"[('Superficie construida:', '90 m²'), ('Superficie útil:', '87 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Planta:', '4ª'), ('Antigüedad:', 'Más de 50 años'), ('Referencia:', 'SA515-1237A628/1084')]",Alquiler
"Apartamento en alquiler en Calle de Ríos Rosas, cerca de Calle de Ponzano",Ríos Rosas (Distrito Chamberí. Madrid Capital),2.800,143,Anuncio actualizado el 28/10/2024,N/A,N/A,"[('Superficie construida:', '143 m²'), ('Superficie útil:', '121 m²'), ('Habitaciones:', '4'), ('Baños:', '2'), ('Planta:', '6ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'En buen estado'), ('Referencia:', '1492-426307')]",Alquiler
"Piso en alquiler en Calle de Núñez de Balboa, 95, cerca de Calle de Diego de León",Castellana (Distrito Salamanca. Madrid Capital),1.500,70,Anuncio actualizado el 23/10/2024,N/A,N/A,"[('Superficie construida:', '70 m²'), ('Superficie útil:', '65 m²'), ('Habitaciones:', '2'), ('Baños:', '1'), ('Conservación:', 'En buen estado'), ('Referencia:', 'SA4883-103711472')]",Alquiler
Piso en alquiler en Casco Urbano,Centro (Villaviciosa de Odón),1.100,67,Anuncio actualizado el 24/10/2024,N/A,N/A,"[('Superficie construida:', '67 m²'), ('Superficie útil:', '60 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '1ª'), ('Conservación:', 'Reformado'), ('Referencia:', 'INB178-4433')]",Alquiler
"Apartamento en alquiler en Calle de Alcántara, cerca de Calle de Francisco Silvela",Lista (Distrito Salamanca. Madrid Capital),1.000,49,Anuncio actualizado el 27/10/2024,Consumo:300 kWh/m² año,Emisiones:300 Kg CO₂/m² año,"[('Superficie construida:', '49 m²'), ('Superficie útil:', '40 m²'), ('Baños:', '1'), ('Planta:', '1ª'), ('Antigüedad:', 'Más de 50 años'), ('Conservación:', 'Reformado'), ('Referencia:', 'SA193-1005')]",Alquiler
"Apartamento en alquiler en Calle del Olivar, 17, cerca de Calle de San Carlos",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),1.100,50,Anuncio actualizado el 21/10/2024,Consumo:357 kWh/m² año,Emisiones:75 Kg CO₂/m² año,"[('Superficie construida:', '50 m²'), ('Superficie útil:', '50 m²'), ('Habitaciones:', '1'), ('Baños:', '1'), ('Planta:', '4ª'), ('Conservación:', 'Reformado'), ('Referencia:', '4992099-2021')]",Alquiler
