Descripción,Localización,Precio,Última Actualización,Consumo Energético,Emisiones Co2,Tipo De Operación,Superficie Construida,Superficie Útil,Habitaciones,Baños,Antigüedad,Conservación,Planta,Tipo De Casa
"Piso en alquiler en Bulevar de Salvador Allende, 15",Centro (Alcobendas),1500.0,2024-10-24,,,Alquiler,113.0,80.0,2,2,Menos de 5 años,En buen estado,4ª,Piso
Piso en alquiler en Calle de Gabriel Lobo,El Viso (Distrito Chamartín. Madrid Capital),2300.0,2024-10-22,,,Alquiler,110.0,107.0,3,2,No especificado,Reformado,Entresuelo,Piso
"Apartamento en alquiler en Calle de Cavanilles, cerca de Calle de Sánchez Barcáiztegui",Pacífico (Distrito Retiro. Madrid Capital),1350.0,2024-10-28,,,Alquiler,65.0,No especificado,2,No especificado,No especificado,No especificado,No especificado,Otro
Piso en alquiler en Calle de Venus,Zona Suroeste (Torrejón de Ardoz),1150.0,2024-10-28,,,Alquiler,105.0,95.0,2,2,Entre 10 y 20 años,Reformado,Bajo,Piso
"Piso en alquiler en Avenida de Juan Andrés, cerca de Calle de la Isla de Nelson",Valdezarza (Distrito Moncloa-Aravaca. Madrid Capital),1200.0,2024-10-24,,,Alquiler,73.0,64.0,2,1,Más de 50 años,No especificado,6ª,Piso
"Piso en alquiler en Calle de Blasco de Garay, cerca de Calle de Fernández de los Ríos",Arapiles (Distrito Chamberí. Madrid Capital),1400.0,2024-10-27,,,Alquiler,58.0,No especificado,2,2,No especificado,En buen estado,1ª,Piso
"Piso en alquiler en Calle de Francisco Silvela, 65, cerca de Calle de Diego de León",Lista (Distrito Salamanca. Madrid Capital),2200.0,2024-10-24,Consumo:999 kWh/m² año,Emisiones:999 Kg CO₂/m² año,Alquiler,73.0,64.0,2,2,Menos de 5 años,En buen estado,3ª,Piso
Piso en alquiler en Calle de Cristóbal Bordiú,Ríos Rosas (Distrito Chamberí. Madrid Capital),1100.0,2024-10-28,,,Alquiler,37.0,28.0,1,1,Más de 50 años,En buen estado,No especificado,Piso
"Piso en alquiler en Calle del Duque de Tovar, 11",Imperial (Distrito Arganzuela. Madrid Capital),3000.0,2024-10-22,Consumo:14 kWh/m² año,Emisiones:2 Kg CO₂/m² año,Alquiler,130.0,120.0,3,2,Menos de 5 años,A estrenar,2ª,Piso
Loft en alquiler en Calle de los Ciruelos,Vega de la Moraleja (San Sebastián de los Reyes),1300.0,2024-10-23,,,Alquiler,90.0,85.0,2,1,Menos de 5 años,En buen estado,Bajo,Otro
"Piso en alquiler en Paseo de las Delicias, cerca de Calle de Ciudad Real",Delicias (Distrito Arganzuela. Madrid Capital),1200.0,2024-10-28,,,Alquiler,40.0,38.0,2,1,Más de 50 años,En buen estado,5ª,Piso
Piso en alquiler en Calle de José Martínez Ruiz Azorín,Espartales (Distrito Ensanche-Espartales. Alcalá de Henares),1200.0,2024-10-24,,,Alquiler,112.0,No especificado,3,2,No especificado,No especificado,2ª,Piso
Piso en alquiler en Calle del Padre Damián,Hispanoamérica (Distrito Chamartín. Madrid Capital),2050.0,2024-09-28,Consumo:144 kWh/m² año,Emisiones:28 Kg CO₂/m² año,Alquiler,114.0,90.0,2,2,Entre 30 y 50 años,En buen estado,7ª,Piso
Piso en alquiler en Retiro,Niño Jesús (Distrito Retiro. Madrid Capital),3200.0,2024-10-28,,,Alquiler,181.0,136.0,4,3,No especificado,Reformado,No especificado,Piso
"Piso en alquiler en Avenida de Nazaret, 9",Niño Jesús (Distrito Retiro. Madrid Capital),2400.0,2024-10-04,,,Alquiler,96.0,95.0,2,2,No especificado,No especificado,No especificado,Piso
"Piso en alquiler en Calle del Cerro de la Carrasqueta, cerca de Calle del Valle de Pinares Llanos",Mirasierra-Arroyo del Fresno (Distrito Fuencarral-El Pardo. Madrid Capital),1700.0,2024-10-22,,,Alquiler,135.0,90.0,3,2,Entre 20 y 30 años,Reformado,3ª,Piso
Ático en alquiler en Calle Cava Baja,Palacio (Distrito Centro. Madrid Capital),1690.0,2024-10-28,,,Alquiler,90.0,83.0,1,1,Más de 50 años,En buen estado,5ª,Otro
Dúplex en alquiler en Calle de Tremp,Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),2500.0,2024-10-26,,,Alquiler,196.0,190.0,4,3,Entre 10 y 20 años,En buen estado,No especificado,Dúplex
"Piso en alquiler en Calle Teleferico de las Canteras, 2",El Cañaveral (Distrito Vicálvaro. Madrid Capital),1480.0,2024-10-24,Consumo:93 kWh/m² año,Emisiones:19 Kg CO₂/m² año,Alquiler,145.0,No especificado,4,2,No especificado,A estrenar,No especificado,Piso
Piso en alquiler en Calle de Fernando 'El Católico',Gaztambide (Distrito Chamberí. Madrid Capital),1500.0,2024-10-25,Consumo:194 kWh/m² año,Emisiones:41 Kg CO₂/m² año,Alquiler,52.0,49.0,2,1,Más de 50 años,En buen estado,3ª,Piso
"Piso en alquiler en Calle de Juan de Jáuregui, 1",Niño Jesús (Distrito Retiro. Madrid Capital),1750.0,2024-10-28,,,Alquiler,125.0,88.0,3,1,Más de 50 años,En buen estado,2ª,Piso
"Estudio en alquiler en Calle de Lope de Rueda, 47, cerca de Calle de Ibiza",Ibiza (Distrito Retiro. Madrid Capital),1500.0,2024-10-23,,,Alquiler,59.0,54.0,No especificado,1,Más de 50 años,No especificado,1ª,Estudio
Piso en alquiler en Avenida de Alberto Alcocer,Nueva España (Distrito Chamartín. Madrid Capital),4300.0,2024-10-25,,,Alquiler,208.0,No especificado,3,2,No especificado,En buen estado,4ª,Piso
Loft en alquiler en Calle de Albarracín,Simancas (Distrito San Blas. Madrid Capital),1300.0,2024-10-24,Consumo:341 kWh/m² año,Emisiones:71 Kg CO₂/m² año,Alquiler,50.0,30.0,1,1,Más de 50 años,A estrenar,Bajo,Otro
"Loft en alquiler en Calle de Las Navas de Tolosa, 9",Sol (Distrito Centro. Madrid Capital),3700.0,2024-04-18,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,Alquiler,205.0,205.0,2,3,Más de 50 años,En buen estado,1ª,Otro
"Piso en alquiler en Calle de Luis Martínez Feduchi, 142",Valdebebas-Valdefuentes (Distrito Hortaleza. Madrid Capital),2100.0,2024-09-26,,,Alquiler,140.0,130.0,3,2,Menos de 5 años,En buen estado,1ª,Piso
"Piso en alquiler en Calle de Alcántara, cerca de Calle de Francisco Silvela",Lista (Distrito Salamanca. Madrid Capital),1400.0,2024-10-25,,,Alquiler,49.0,45.0,2,1,No especificado,A estrenar,3ª,Piso
Piso en alquiler en Plaza de la Condesa de Gavia,Cuatro Caminos (Distrito Tetuán. Madrid Capital),1150.0,2024-10-04,,,Alquiler,50.0,No especificado,1,1,Más de 50 años,A estrenar,No especificado,Piso
Piso en alquiler en Calle de Géminis,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),1150.0,2024-10-16,Consumo:41 kWh/m² año,Emisiones:8 Kg CO₂/m² año,Alquiler,52.0,47.0,1,1,Menos de 5 años,A estrenar,1ª,Piso
"Piso en alquiler en Calle de Cea Bermúdez, 20, cerca de Calle Vallehermoso",Vallehermoso (Distrito Chamberí. Madrid Capital),1800.0,2024-10-28,Consumo:304 kWh/m² año,Emisiones:64 Kg CO₂/m² año,Alquiler,72.0,65.0,3,3,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Calle de Juan de Mena,Jerónimos (Distrito Retiro. Madrid Capital),3550.0,2024-10-25,,,Alquiler,112.0,97.0,2,2,Más de 50 años,En buen estado,5ª,Piso
Piso en alquiler en Calle de Garci-Nuño,Valdeacederas (Distrito Tetuán. Madrid Capital),1290.0,2024-09-18,,,Alquiler,55.0,No especificado,2,1,Más de 50 años,No especificado,No especificado,Piso
Estudio en alquiler en Avenida de Manoteras,Virgen del Cortijo-Manoteras (Distrito Hortaleza. Madrid Capital),950.0,2024-10-23,,,Alquiler,55.0,50.0,1,1,No especificado,No especificado,2ª,Estudio
"Piso en alquiler en Calle de Gabriela Mistral, 12",Peñagrande (Distrito Fuencarral-El Pardo. Madrid Capital),2200.0,2024-09-04,Consumo:200 kWh/m² año,Emisiones:40 Kg CO₂/m² año,Alquiler,123.0,90.0,3,2,No especificado,No especificado,3ª,Piso
Piso en alquiler en Calle de Churruca,Justicia-Chueca (Distrito Centro. Madrid Capital),1300.0,2024-08-16,,,Alquiler,43.0,No especificado,1,1,No especificado,En buen estado,2ª,Piso
Piso en alquiler en Paseo de San Illán,San Isidro (Distrito Carabanchel. Madrid Capital),1400.0,2024-10-22,,,Alquiler,65.0,60.0,2,1,No especificado,A estrenar,Bajo,Piso
"Ático en alquiler en Calle de San Pedro, 6",Cortes-Huertas (Distrito Centro. Madrid Capital),850.0,2024-10-25,Consumo:180 kWh/m² año,Emisiones:95 Kg CO₂/m² año,Alquiler,48.0,44.0,1,1,Más de 50 años,No especificado,4ª,Otro
Loft en alquiler en Avenida Camino de Lo Cortao,Ciudalcampo-Fuente del Fresno (San Sebastián de los Reyes),950.0,2024-10-25,,,Alquiler,60.0,48.0,2,1,Menos de 5 años,A estrenar,Principal,Otro
Piso en alquiler en Calle del Majuelo,Acacias (Distrito Arganzuela. Madrid Capital),1500.0,2024-10-02,Consumo:176 kWh/m² año,Emisiones:37 Kg CO₂/m² año,Alquiler,98.0,No especificado,2,2,Entre 20 y 30 años,En buen estado,No especificado,Piso
"Piso en alquiler en Calle de Guillermo de Osma, 27",Chopera (Distrito Arganzuela. Madrid Capital),1300.0,2024-10-28,,,Alquiler,49.0,No especificado,1,1,Más de 50 años,No especificado,Bajo,Piso
Piso en alquiler en Calle del General Arrando,Almagro (Distrito Chamberí. Madrid Capital),2000.0,2024-10-16,,,Alquiler,110.0,No especificado,3,2,No especificado,No especificado,No especificado,Piso
Ático en alquiler en Calle de Juanelo,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),700.0,2024-10-02,,,Alquiler,11.0,No especificado,No especificado,1,Más de 50 años,No especificado,4ª,Otro
"Estudio en alquiler en Calle de Diego de León, cerca de Calle de Claudio Coello",Castellana (Distrito Salamanca. Madrid Capital),1350.0,2024-10-20,,,Alquiler,35.0,No especificado,No especificado,1,No especificado,En buen estado,No especificado,Estudio
Piso en alquiler en Chamartin,Castilla (Distrito Chamartín. Madrid Capital),1700.0,2024-10-28,,,Alquiler,70.0,No especificado,2,1,No especificado,No especificado,1ª,Piso
Piso en alquiler en Calle del Monte Esquinza,Almagro (Distrito Chamberí. Madrid Capital),1490.0,2024-10-22,,,Alquiler,65.0,55.0,1,1,Más de 50 años,No especificado,Bajo,Piso
"Piso en alquiler en Plaza de la Madre Teresa de Calcuta, 8",Európolis-Montecillo-Navalcarbón (Las Rozas de Madrid),1990.0,2024-10-18,,,Alquiler,120.0,No especificado,3,2,No especificado,En buen estado,No especificado,Piso
"Estudio en alquiler en Calle de la Jacaranda, 10, cerca de Calle de Alpedrete",Atocha (Distrito Arganzuela. Madrid Capital),1000.0,2024-10-28,,,Alquiler,45.0,No especificado,No especificado,1,No especificado,A estrenar,No especificado,Estudio
"Piso en alquiler en Avenida Arribes del Duero, 14",Arroyos y Tempranales (San Sebastián de los Reyes),1000.0,2024-10-21,,,Alquiler,63.0,No especificado,2,2,No especificado,A estrenar,1ª,Piso
Casa adosada en alquiler en Calle Guadiana,Estación-Zona Norte (Pozuelo de Alarcón),2900.0,2024-10-24,,,Alquiler,235.0,No especificado,5,4,No especificado,En buen estado,No especificado,Casa
"Piso en alquiler en Valdemoro, Zona de - Zona Estación",Estación (Valdemoro),1000.0,2024-10-24,,,Alquiler,71.0,57.0,2,2,Menos de 5 años,En buen estado,No especificado,Piso
"Piso en alquiler en Calle Lagasca, cerca de Calle de Diego de León",Castellana (Distrito Salamanca. Madrid Capital),4150.0,2024-09-19,Consumo:234 kWh/m² año,Emisiones:48 Kg CO₂/m² año,Alquiler,203.0,176.0,5,5,Más de 50 años,En buen estado,5ª,Piso
Piso en alquiler en Valdezarza,Valdezarza (Distrito Moncloa-Aravaca. Madrid Capital),950.0,2024-10-24,,,Alquiler,50.0,No especificado,1,1,No especificado,No especificado,6ª,Piso
Piso en alquiler en Casco Antiguo,Casco Antiguo (Torrelodones),1790.0,2024-10-05,Consumo:37 kWh/m² año,Emisiones:7 Kg CO₂/m² año,Alquiler,140.0,130.0,3,3,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Aravaca,Aravaca (Distrito Moncloa-Aravaca. Madrid Capital),1500.0,2024-10-23,,,Alquiler,90.0,No especificado,2,1,No especificado,No especificado,2ª,Piso
Piso en alquiler en Casa de Campo,Casa de Campo (Distrito Moncloa-Aravaca. Madrid Capital),1200.0,2024-10-18,,,Alquiler,69.0,No especificado,1,1,Más de 50 años,En buen estado,1ª,Piso
Estudio en alquiler en Calle de Francisco Sancha,Valverde (Distrito Fuencarral-El Pardo. Madrid Capital),5000.0,2024-08-04,Consumo:17 kWh/m² año,Emisiones:17 Kg CO₂/m² año,Alquiler,119.0,101.0,No especificado,2,Entre 10 y 20 años,En buen estado,1ª,Estudio
Casa adosada en alquiler en Colonia,Colonia (Torrelodones),2490.0,2024-10-20,Consumo:98 kWh/m² año,Emisiones:65 Kg CO₂/m² año,Alquiler,351.0,280.0,4,7,No especificado,No especificado,No especificado,Casa
Apartamento en alquiler en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),4000.0,2024-09-02,,,Alquiler,260.0,240.0,6,3,No especificado,No especificado,1ª,Otro
"Piso en alquiler en Calle de García de Paredes, cerca de Calle de Bravo Murillo",Trafalgar (Distrito Chamberí. Madrid Capital),2900.0,2024-10-23,Consumo:37 kWh/m² año,Emisiones:7 Kg CO₂/m² año,Alquiler,127.0,No especificado,2,2,No especificado,No especificado,2ª,Piso
"Casa adosada en alquiler en Avenida de los Robles, 72",Los Robles (Torrelodones),2400.0,2024-10-28,Consumo:130 kWh/m² año,Emisiones:27 Kg CO₂/m² año,Alquiler,279.0,No especificado,5,4,Entre 20 y 30 años,No especificado,No especificado,Casa
"Apartamento en alquiler en Calle de Juan Ramón Jiménez, 8",Hispanoamérica (Distrito Chamartín. Madrid Capital),1800.0,2023-02-24,,,Alquiler,74.0,No especificado,1,1,No especificado,No especificado,8ª,Otro
"Apartamento en alquiler en Calle de Juan Ramón Jiménez, 8",Hispanoamérica (Distrito Chamartín. Madrid Capital),1800.0,2023-02-24,,,Alquiler,76.0,No especificado,1,1,No especificado,No especificado,6ª,Otro
"Apartamento en alquiler en Avenida de Alberto Alcocer, 12",Hispanoamérica (Distrito Chamartín. Madrid Capital),2000.0,2023-02-24,,,Alquiler,74.0,No especificado,1,1,No especificado,No especificado,7ª,Otro
"Piso en alquiler en Calle de Juan Ramón Jiménez, 8",Castilla (Distrito Chamartín. Madrid Capital),2200.0,2023-02-24,,,Alquiler,83.0,73.0,2,2,No especificado,A estrenar,6ª,Piso
"Piso en alquiler en Calle de Juan Ramón Jiménez, 8",Castilla (Distrito Chamartín. Madrid Capital),2000.0,2023-10-16,,,Alquiler,84.0,73.0,1,1,Entre 30 y 50 años,A estrenar,4ª,Piso
"Apartamento en alquiler en Calle de Juan Ramón Jiménez, 8",Hispanoamérica (Distrito Chamartín. Madrid Capital),2000.0,2023-02-24,,,Alquiler,76.0,No especificado,1,1,Más de 50 años,En buen estado,4ª,Otro
Casa en alquiler en El Olivar de Mirabal,El Olivar de Mirabal (Boadilla del Monte),5000.0,2024-10-26,,,Alquiler,363.0,310.0,4,5,Menos de 5 años,No especificado,No especificado,Casa
"Piso en alquiler en Calle de Juan Ramón Jiménez, 8",Castilla (Distrito Chamartín. Madrid Capital),2300.0,2023-02-24,,,Alquiler,95.0,93.0,2,2,No especificado,En buen estado,4ª,Piso
Chalet en alquiler en los Peñascales,Los Peñascales (Torrelodones),2400.0,2024-10-27,,,Alquiler,290.0,275.0,3,3,No especificado,No especificado,No especificado,Chalet
Piso en alquiler en Calle de Andrés Torrejón,Jerónimos (Distrito Retiro. Madrid Capital),2700.0,2024-09-18,,,Alquiler,199.0,170.0,3,2,Más de 50 años,En buen estado,7ª,Piso
Piso en alquiler en Boadilla del Monte,Sector B (Boadilla del Monte),1850.0,2024-10-19,Consumo:206 kWh/m² año,Emisiones:43 Kg CO₂/m² año,Alquiler,117.0,No especificado,4,2,Entre 20 y 30 años,No especificado,No especificado,Piso
Estudio en alquiler en Zona Avenida de Europa,Zona Avenida de Europa (Pozuelo de Alarcón),1200.0,2024-08-20,,,Alquiler,60.0,No especificado,No especificado,1,No especificado,No especificado,1ª,Estudio
Piso en alquiler en Calle de Juan Montalvo,Ciudad Universitaria (Distrito Moncloa-Aravaca. Madrid Capital),2400.0,2024-10-23,,,Alquiler,106.0,93.0,4,2,Más de 50 años,A estrenar,1ª,Piso
"Piso en alquiler en Calle de José Ortega y Gasset, 17, cerca de Calle de Claudio Coello",Castellana (Distrito Salamanca. Madrid Capital),4500.0,2024-10-24,Consumo:1 kWh/m² año,Emisiones:1 Kg CO₂/m² año,Alquiler,92.0,No especificado,2,3,No especificado,No especificado,1ª,Piso
Ático en alquiler en Almagro,Almagro (Distrito Chamberí. Madrid Capital),3800.0,2024-08-16,,,Alquiler,185.0,No especificado,4,3,No especificado,En buen estado,7ª,Otro
"Apartamento en alquiler en Calle de Juan Ramón Jiménez, 8",Hispanoamérica (Distrito Chamartín. Madrid Capital),2000.0,2023-02-24,,,Alquiler,95.0,No especificado,1,1,No especificado,No especificado,6ª,Otro
Piso en alquiler en Calle de Juliana,Jardín de los Reyes-Parque Real (El Escorial),1490.0,2024-10-22,,,Alquiler,184.0,No especificado,4,3,No especificado,No especificado,3ª,Piso
"Apartamento en alquiler en Avenida de Alberto Alcocer, 12",Hispanoamérica (Distrito Chamartín. Madrid Capital),2300.0,2023-02-24,,,Alquiler,95.0,No especificado,2,2,Más de 50 años,No especificado,4ª,Otro
"Piso en alquiler en Calle de Juan Ramón Jiménez, 8",Castilla (Distrito Chamartín. Madrid Capital),2200.0,2023-02-24,,,Alquiler,76.0,71.0,1,2,No especificado,En buen estado,4ª,Piso
Piso en alquiler en Calle de Villafranca,Guindalera (Distrito Salamanca. Madrid Capital),1300.0,2024-09-20,Consumo:221 kWh/m² año,Emisiones:47 Kg CO₂/m² año,Alquiler,50.0,48.0,1,1,Entre 30 y 50 años,No especificado,1ª,Piso
Apartamento en alquiler en Lista,Castellana (Distrito Salamanca. Madrid Capital),6500.0,2024-09-02,,,Alquiler,250.0,218.0,2,3,No especificado,No especificado,4ª,Otro
Piso en alquiler en Calle de Alcalá,Quintana (Distrito Ciudad Lineal. Madrid Capital),1200.0,2024-10-24,,,Alquiler,86.0,66.0,2,2,Entre 30 y 50 años,No especificado,3ª,Piso
"Apartamento en alquiler en Avenida de Alberto Alcocer, 18",Hispanoamérica (Distrito Chamartín. Madrid Capital),2200.0,2023-02-24,,,Alquiler,76.0,No especificado,1,2,No especificado,No especificado,4ª,Otro
Piso en alquiler en Calle de Grañón,Las Tablas (Distrito Fuencarral-El Pardo. Madrid Capital),1675.0,2024-10-09,,,Alquiler,100.0,100.0,3,2,Entre 10 y 20 años,En buen estado,5ª,Piso
Piso en alquiler en Calle de los Estudios,Embajadores-Lavapiés (Distrito Centro. Madrid Capital),2300.0,2024-10-21,,,Alquiler,87.0,86.0,3,1,Más de 50 años,No especificado,3ª,Piso
Casa adosada en alquiler en Calle del Sotillo,Navacerrada,1200.0,2024-10-28,Consumo:226 kWh/m² año,Emisiones:48 Kg CO₂/m² año,Alquiler,90.0,85.0,3,3,Entre 30 y 50 años,No especificado,No especificado,Casa
"Piso en alquiler en Calle de Juan Ramón Jiménez, 8",Castilla (Distrito Chamartín. Madrid Capital),2500.0,2023-03-08,,,Alquiler,95.0,93.0,1,2,Entre 30 y 50 años,En buen estado,7ª,Piso
Dúplex en alquiler en Calle de Esparteros,Sol (Distrito Centro. Madrid Capital),1598.0,2024-10-09,,,Alquiler,50.0,45.0,1,1,Más de 50 años,En buen estado,2ª,Dúplex
Ático en alquiler en Calle de San Aquilino,Almenara (Distrito Tetuán. Madrid Capital),2350.0,2024-10-21,,,Alquiler,150.0,140.0,2,2,Menos de 5 años,No especificado,4ª,Otro
"Piso en alquiler en Calle Colombia, cerca de Calle de Puerto Rico",Hispanoamérica (Distrito Chamartín. Madrid Capital),1500.0,2024-10-22,,,Alquiler,68.0,65.0,3,1,Más de 50 años,No especificado,No especificado,Piso
Chalet en alquiler en Zona norte,Somosaguas-Húmera-Los Ángeles (Pozuelo de Alarcón),4000.0,2024-10-27,,,Alquiler,310.0,303.0,4,2,Entre 30 y 50 años,No especificado,No especificado,Chalet
Piso en alquiler en Madrid,Fontarrón (Distrito Moratalaz. Madrid Capital),4000.0,2024-10-17,Consumo:640 kWh/m² año,Emisiones:122 Kg CO₂/m² año,Alquiler,,No especificado,No especificado,No especificado,No especificado,No especificado,No especificado,Piso
Piso en alquiler en Aravaca,Aravaca (Distrito Moncloa-Aravaca. Madrid Capital),1200.0,2024-10-23,,,Alquiler,58.0,51.0,1,1,Entre 20 y 30 años,No especificado,No especificado,Piso
Piso en alquiler en Retiro,Ibiza (Distrito Retiro. Madrid Capital),2800.0,2024-10-26,,,Alquiler,150.0,No especificado,4,2,No especificado,No especificado,No especificado,Piso
Apartamento en alquiler en Calle de O'Donnell,Goya (Distrito Salamanca. Madrid Capital),2750.0,2024-10-21,,,Alquiler,140.0,135.0,3,3,Más de 50 años,No especificado,1ª,Otro
Ático en alquiler en Recoletos,Recoletos (Distrito Salamanca. Madrid Capital),3800.0,2024-08-30,,,Alquiler,185.0,No especificado,4,3,No especificado,En buen estado,7ª,Otro
